timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614679018140,54,dummy origin,200,OK,Csae 1 1-30,text,true,,114,0,30,30,null,31,0,5
1614679018140,56,dummy origin,200,OK,Csae 1 1-6,text,true,,114,0,30,30,null,23,0,3
1614679018139,88,dummy origin,200,OK,Csae 1 1-24,text,true,,114,0,30,30,null,6,0,1
1614679018140,94,dummy origin,200,OK,Csae 1 1-25,text,true,,114,0,30,30,null,19,0,1
1614679018139,104,dummy origin,200,OK,Csae 1 1-7,text,true,,114,0,30,30,null,21,0,2
1614679018139,119,dummy origin,200,OK,Csae 1 1-4,text,true,,114,0,30,30,null,12,0,4
1614679018140,153,dummy origin,200,OK,Csae 1 1-22,text,true,,114,0,30,30,null,48,0,2
1614679018139,157,dummy origin,200,OK,Csae 1 1-20,text,true,,114,0,30,30,null,23,0,2
1614679018138,159,dummy origin,200,OK,Csae 1 1-12,text,true,,114,0,30,30,null,40,0,2
1614679018140,159,dummy origin,200,OK,Csae 1 1-18,text,true,,114,0,30,30,null,30,0,5
1614679018139,164,dummy origin,200,OK,Csae 1 1-29,text,true,,114,0,30,30,null,32,0,1
1614679018139,171,dummy origin,200,OK,Csae 1 1-1,text,true,,114,0,30,30,null,30,0,4
1614679018140,177,dummy origin,200,OK,Csae 1 1-10,text,true,,114,0,30,30,null,16,0,4
1614679018139,190,dummy origin,200,OK,Csae 1 1-19,text,true,,114,0,30,30,null,21,0,4
1614679018139,215,dummy origin,200,OK,Csae 1 1-14,text,true,,114,0,30,30,null,36,0,4
1614679018140,217,dummy origin,200,OK,Csae 1 1-23,text,true,,114,0,30,30,null,4,0,2
1614679018139,221,dummy origin,200,OK,Csae 1 1-26,text,true,,114,0,30,30,null,25,0,2
1614679018139,242,dummy origin,200,OK,Csae 1 1-27,text,true,,114,0,30,30,null,3,0,3
1614679018140,261,dummy origin,200,OK,Csae 1 1-17,text,true,,114,0,30,30,null,12,0,4
1614679018139,268,dummy origin,200,OK,Csae 1 1-21,text,true,,114,0,30,30,null,28,0,2
1614679018139,271,dummy origin,200,OK,Csae 1 1-15,text,true,,114,0,30,30,null,26,0,4
1614679018140,286,dummy origin,200,OK,Csae 1 1-3,text,true,,114,0,30,30,null,4,0,2
1614679018139,291,dummy origin,200,OK,Csae 1 1-28,text,true,,114,0,30,30,null,42,0,2
1614679018140,291,dummy origin,200,OK,Csae 1 1-9,text,true,,114,0,30,30,null,23,0,4
1614679018140,346,dummy origin,200,OK,Csae 1 1-16,text,true,,114,0,30,30,null,37,0,4
1614679018139,370,dummy origin,200,OK,Csae 1 1-11,text,true,,114,0,30,30,null,44,0,4
1614679018139,377,dummy origin,200,OK,Csae 1 1-8,text,true,,114,0,30,30,null,44,0,2
1614679018140,435,dummy origin,200,OK,Csae 1 1-13,text,true,,114,0,30,30,null,27,0,3
1614679018139,447,dummy origin,200,OK,Csae 1 1-5,text,true,,114,0,30,30,null,45,0,2
1614679018140,452,dummy origin,200,OK,Csae 1 1-2,text,true,,114,0,30,30,null,20,0,4
1614679018316,614,load root,200,OK,Csae 1 1-22,text,true,,2433,357,30,30,https://192.168.78.11/dcim/,594,0,593
1614679018316,594,load root-0,301,Moved Permanently,Csae 1 1-22,text,true,,458,116,30,30,https://192.168.78.11/,594,0,593
1614679018910,17,load root-1,301,Moved Permanently,Csae 1 1-22,text,true,,459,120,30,30,https://192.168.78.11/dcim,17,0,0
1614679018927,3,load root-2,200,OK,Csae 1 1-22,text,true,,1516,121,30,30,https://192.168.78.11/dcim/,3,0,0
1614679018316,614,load root,200,OK,Csae 1 1-1,text,true,,2433,357,30,30,https://192.168.78.11/dcim/,587,0,580
1614679018316,589,load root-0,301,Moved Permanently,Csae 1 1-1,text,true,,458,116,30,30,https://192.168.78.11/,587,0,580
1614679018906,17,load root-1,301,Moved Permanently,Csae 1 1-1,text,true,,459,120,30,30,https://192.168.78.11/dcim,17,0,0
1614679018923,7,load root-2,200,OK,Csae 1 1-1,text,true,,1516,121,30,30,https://192.168.78.11/dcim/,7,0,0
1614679018932,24,runtime-es2015.js,200,OK,Csae 1 1-22,text,true,,9722,138,30,30,https://192.168.78.11/dcim/runtime-es2015.js,24,0,0
1614679018944,20,runtime-es2015.js,200,OK,Csae 1 1-1,text,true,,9722,138,30,30,https://192.168.78.11/dcim/runtime-es2015.js,20,0,0
