timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,TimeLine
1614697535018,0,dummy origin,200,OK,Csae 1 1-1,text,true,,114,0,1,1,null,0,0,0,0
1614697535080,269,load root,200,OK,Csae 1 1-1,text,true,,2433,357,1,1,https://192.168.78.11/dcim/,195,0,187,62
1614697535080,197,load root-0,301,Moved Permanently,Csae 1 1-1,text,true,,458,116,1,1,https://192.168.78.11/,195,0,187,62
1614697535278,29,load root-1,301,Moved Permanently,Csae 1 1-1,text,true,,459,120,1,1,https://192.168.78.11/dcim,29,0,0,260
1614697535308,41,load root-2,200,OK,Csae 1 1-1,text,true,,1516,121,1,1,https://192.168.78.11/dcim/,41,0,0,290
1614697535354,28,runtime-es2015.js,200,OK,Csae 1 1-1,text,true,,9722,138,1,1,https://192.168.78.11/dcim/runtime-es2015.js,28,0,0,336
1614697535385,52,polyfills-es2015.js,200,OK,Csae 1 1-1,text,true,,751643,140,1,1,https://192.168.78.11/dcim/polyfills-es2015.js,10,0,0,367
1614697535439,168,styles-es2015.js,200,OK,Csae 1 1-1,text,true,,3832932,137,1,1,https://192.168.78.11/dcim/styles-es2015.js,35,0,0,421
1614697535609,256,vendor-es2015.js,200,OK,Csae 1 1-1,text,true,,8396977,137,1,1,https://192.168.78.11/dcim/vendor-es2015.js,12,0,0,591
1614697535866,7,main-es2015.js,200,OK,Csae 1 1-1,text,true,,153103,135,1,1,https://192.168.78.11/dcim/main-es2015.js,3,0,0,848
1614697535874,2,1-es2015.js,200,OK,Csae 1 1-1,text,true,,11309,132,1,1,https://192.168.78.11/dcim/1-es2015.js,2,0,0,856
1614697535352,513,dcim embedded,200,"Number of samples in transaction : 6, number of failing samples : 0",Csae 1 1-1,,true,,13155686,819,1,1,null,90,12,0,334
1614697535954,91,models,401,,Csae 1 1-1,text,false,,342,168,1,1,https://192.168.78.11/dcTrackApp/api/v1/models?gcsr=0.6579898033239465,90,0,0,936
1614697536058,168,users,302,Found,Csae 1 1-1,text,true,,1028,145,1,1,https://192.168.78.11/users?gcsr=0.7952179541164099,168,0,0,1040
1614697536233,26,pages-pages-module-es2015.js,200,OK,Csae 1 1-1,text,true,,721245,626,1,1,https://192.168.78.11/dcim/pages-pages-module-es2015.js,4,0,0,1215
1614697535877,285,load data,,"Number of samples in transaction : 3, number of failing samples : 1",Csae 1 1-1,,false,,722615,939,1,1,null,262,97,0,859
1614697536261,790,logout,200,OK,Csae 1 1-1,text,true,,691596,2532,1,1,https://192.168.78.11/login/login?redir=%2Fdcim%2F,29,0,0,1243
1614697536261,29,logout-0,302,Found,Csae 1 1-1,text,true,,1276,622,1,1,https://192.168.78.11/login/logout?redir=%2Fdcim%2F,29,0,0,1243
1614697536291,303,logout-1,200,OK,Csae 1 1-1,text,true,,94083,621,1,1,https://192.168.78.11/login/login?redir=%2Fdcim%2F,297,0,0,1273
1614697536658,24,logout-2,200,OK,Csae 1 1-1,text,true,,162489,642,1,1,https://192.168.78.11/assets/login-9d5befbb3ef0093836c4ceed4be3296b30c78bdc6acc8c59d8cd418047f90d66.css,19,0,0,1640
1614697537029,22,logout-3,200,OK,Csae 1 1-1,text,true,,433748,647,1,1,https://192.168.78.11/assets/application-a2cffd1302fd95d8e06fbdf734512a9d4a300e322368812c1b0e14737c75771c.js,11,0,0,2011
1614697537418,47,accessLevel,403,,Csae 1 1-1,text,false,,284,592,1,1,https://192.168.78.11/dcTrackApp/api/user/accessLevel,47,0,26,2400
1614697537467,31,sunbird-login-bg.jpg,200,OK,Csae 1 1-1,bin,true,,687735,668,1,1,https://192.168.78.11/assets/raritan_assets/sunbird-login-bg-cfcde8aba14a2957fa25808c60c88d68d20c7d694dce2fb1392fd806c0d46459.jpg,12,0,0,2449
1614697537500,6,sunbird-logo-white.png,200,OK,Csae 1 1-1,bin,true,,10090,670,1,1,https://192.168.78.11/assets/raritan_assets/sunbird-logo-white-7ec124f9162fab9ec2744d9284eb21e22d9d0fb679939b5c0f586d9735579d4a.png,6,0,0,2482
1614697537508,40,fontawesome-webfont.woff2,200,OK,Csae 1 1-1,text,true,,77507,679,1,1,https://192.168.78.11/assets/font-awesome/fontawesome-webfont-2adefcbc041e7d18fcf2d417879dc5a09997aa64d675b7a3c4b6ce33da13f3fe.woff2?v=4.7.0,37,0,0,2490
1614697537550,41,Roboto-Regular.ttf,200,OK,Csae 1 1-1,text,true,,163224,658,1,1,https://192.168.78.11/assets/Roboto/Roboto-Regular-f0e5a21bf5c95e4c1bce2be98a3656ebcc6d42a21f41c4e3ebf69dd815702e54.ttf,32,0,0,2532
1614697537466,118,load root page resource,200,"Number of samples in transaction : 4, number of failing samples : 0",Csae 1 1-1,,true,,938556,2675,1,1,null,87,7,0,2448
1614697537592,153,login,200,OK,Csae 1 1-1,text,true,,2955,1618,1,1,https://192.168.78.11/dcim/,148,0,0,2574
1614697537592,148,login-0,302,Found,Csae 1 1-1,text,true,,1439,849,1,1,https://192.168.78.11/login/login,148,0,0,2574
1614697537742,3,login-1,200,OK,Csae 1 1-1,text,true,,1516,769,1,1,https://192.168.78.11/dcim/,3,0,0,2724
