timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,API Start Time,API End Time
1626730166171,12668,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,0
1626730166172,1080,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,1,1081
1626730166172,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,1,10001
1626730167172,12688,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,1001,13689
1626730167172,12939,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,1001,13940
1626730167172,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,1001,11001
1626730168173,12848,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,2002,14850
1626730168173,37969,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,2002,39971
1626730168173,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,2002,12002
1626730169174,12866,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,3003,15869
1626730169174,7894,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,3003,10897
1626730169174,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,3003,13003
1626730170174,12867,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,4003,16870
1626730170174,2125,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,4003,6128
1626730170174,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,4003,14003
1626730171175,12867,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,5004,17871
1626730171175,2375,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,5004,7379
1626730171175,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,5004,15004
1626730172176,12870,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,6005,18875
1626730172176,1246,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,6005,7251
1626730172176,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,6005,16005
1626730173177,12870,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,7006,19876
1626730173177,1745,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,7006,8751
1626730173177,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,7006,17006
1626730174177,12890,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,8006,20896
1626730174177,5375,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,8006,13381
1626730174177,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,8006,18006
1626730175177,13096,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,9006,22102
1626730175178,43813,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,9007,52820
1626730175178,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,9007,19007
1626730176178,13096,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,10007,23103
1626730176178,375,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,10007,10382
1626730176178,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,10007,20007
1626730177179,13102,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,11008,24110
1626730177179,2247,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,11008,13255
1626730177179,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,11008,21008
1626730178179,13103,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,12008,25111
1626730178179,7430,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,12008,19438
1626730178179,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,12008,22008
1626730179180,13067,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,13009,26076
1626730179180,4511,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,13009,17520
1626730179180,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,13009,23009
1626730180181,13067,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0,14010,27077
1626730180181,4005,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0,14010,18015
1626730180181,10000,localhost TCP,,,,,true,,0,0,0,0,null,0,0,0,14010,24010
