timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,API Start Time,API End Time
1626730166172,0,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,0
1626730166172,0,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,0,0
1626730167172,83154,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,1000,84154
1626730167172,632,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,1000,1632
1626730168173,13040,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,2001,15041
1626730168173,1969,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,2001,3970
1626730169174,97240,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,3002,100242
1626730169174,3077,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,3002,6079
1626730170174,2720,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,4002,6722
1626730170175,31,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,4003,4034
1626730171175,50322,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,5003,55325
1626730171175,5,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,5003,5008
1626730172176,3984,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,6004,9988
1626730172176,2,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,6004,6006
1626730173176,4950,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,7004,11954
1626730173177,3,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,7005,7008
1626730174177,27430,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,8005,35435
1626730174177,3975,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,8005,11980
1626730175177,61809,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,9005,70814
1626730175178,12272,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,9006,21278
1626730176178,12493,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,10006,22499
1626730176178,1,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,10006,10007
1626730177179,6907,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,11007,17914
1626730177179,1139,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,11007,12146
1626730178179,188852,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,12007,200859
1626730178179,810,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,12007,12817
1626730179180,147704,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,13008,160712
1626730179180,203,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,13008,13211
1626730180180,27221,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,14008,41229
1626730180181,820,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,14009,14829
1626730181181,141535,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,15009,156544
1626730181181,153,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,15009,15162
1626730182181,766,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,16009,16775
1626730182181,3,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,16009,16012
1626730183182,162630,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,17010,179640
1626730183182,9399,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,17010,26409
1626730184182,5763,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,18010,23773
1626730184182,5,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,18010,18015
1626730185183,384630,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,19011,403641
1626730185183,12,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,19011,19023
1626730186183,78564,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,20011,98575
1626730186183,16244,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,20011,36255
1626730187184,36027,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,21012,57039
1626730187184,1,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,21012,21013
1626730188184,100234,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,22012,122246
1626730188184,1199,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,22012,23211
1626730189184,175394,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,23012,198406
1626730189185,1131,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,23013,24144
1626730190185,84730,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,24013,108743
1626730190185,820,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,24013,24833
1626730191185,52212,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,25013,77225
1626730191185,330,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,25013,25343
1626730192186,3398,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,26014,29412
1626730192186,642,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,26014,26656
1626730193186,763,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,27014,27777
1626730193186,4,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,27014,27018
1626730194187,470,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,28015,28485
1626730194187,0,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,28015,28015
1626730195187,1357,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,29015,30372
1626730195187,161,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,29015,29176
1626730196188,19432,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,30016,49448
1626730196188,37,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,30016,30053
1626730197188,458,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,31016,31474
1626730197188,0,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,31016,31016
1626730198189,473,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,32017,32490
1626730198189,0,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,32017,32017
1626730199189,458,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,33017,33475
1626730199189,0,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,33017,33017
1626730200190,143688,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,34018,177706
1626730200190,8600,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,34018,42618
1626730201190,45343,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,35018,80361
1626730201190,6,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,35018,35024
1626730202191,6349,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,36019,42368
1626730202191,4,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,36019,36023
1626730203191,66738,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,37019,103757
1626730203191,16246,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,37019,53265
1626730204191,25674,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,38019,63693
1626730204192,1,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,38020,38021
1626730205192,111197,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,39020,150217
1626730205192,1200,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,39020,40220
1626730206192,180105,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,40020,220125
1626730206192,1229,localhost Network I/O unit=mb:bytesrecv,,,,,true,,0,0,0,0,null,0,0,0,40020,41249
1626730207193,153903,localhost Network I/O unit=kb:bytessent,,,,,true,,0,0,0,0,null,0,0,0,41021,194924
