timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,API Start Time,API End Time
1626730166180,5210000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,0
1626730166180,9090,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,0,9090
1626730166180,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,0,0
1626730167181,5210000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,1001,5211001
1626730167181,9090,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,1001,10091
1626730167181,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,1001,1001
1626730168181,5210000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,2001,5212001
1626730168181,2174,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,2001,4175
1626730168181,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,2001,2001
1626730169182,5227000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,3002,5230002
1626730169182,9003,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,3002,12005
1626730169182,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,3002,3002
1626730170182,5258000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,4002,5262002
1626730170182,9879,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,4002,13881
1626730170182,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,4002,4002
1626730171183,5361000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,5003,5366003
1626730171183,6877,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,5003,11880
1626730171183,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,5003,5003
1626730172183,5422000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,6003,5428003
1626730172183,17772,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,6003,23775
1626730172183,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,6003,6003
1626730173184,5533000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,7004,5540004
1626730173184,8458,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,7004,15462
1626730173184,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,7004,7004
1626730174184,5556000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,8004,5564004
1626730174184,4926,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,8004,12930
1626730174184,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,8004,8004
1626730175185,5575000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,9005,5584005
1626730175185,6508,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,9005,15513
1626730175185,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,9005,9005
1626730176185,5608000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,10005,5618005
1626730176185,8079,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,10005,18084
1626730176185,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,10005,10005
1626730177186,5640000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,11006,5651006
1626730177186,20758,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,11006,31764
1626730177186,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,11006,11006
1626730178186,5700000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,12006,5712006
1626730178186,8510,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,12006,20516
1626730178186,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,12006,12006
1626730179186,5724000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,13006,5737006
1626730179187,8559,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,13007,21566
1626730179187,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,13007,13007
1626730180187,5788000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,14007,5802007
1626730180187,7339,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,14007,21346
1626730180187,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,14007,14007
1626730181187,5809000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,15007,5824007
1626730181187,6416,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,15007,21423
1626730181187,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,15007,15007
1626730182188,6044000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,16008,6060008
1626730182188,19833,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,16008,35841
1626730182188,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,16008,16008
1626730183188,6189000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,17008,6206008
1626730183188,21431,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,17008,38439
1626730183188,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,17008,17008
1626730184188,6312000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,18008,6330008
1626730184188,11961,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,18008,29969
1626730184188,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,18008,18008
1626730185189,6429000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,19009,6448009
1626730185189,9608,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,19009,28617
1626730185189,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,19009,19009
1626730186189,6429000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,20009,6449009
1626730186189,9496,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,20009,29505
1626730186189,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,20009,20009
1626730187190,6513000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,21010,6534010
1626730187190,9754,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,21010,30764
1626730187190,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,21010,21010
1626730188190,6523000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,22010,6545010
1626730188190,8541,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,22010,30551
1626730188190,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,22010,22010
1626730189191,6599000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,23011,6622011
1626730189191,10066,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,23011,33077
1626730189191,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,23011,23011
1626730190191,6915000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,24011,6939011
1626730190191,30647,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,24011,54658
1626730190191,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,24011,24011
1626730191191,7244000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,25011,7269011
1626730191192,29242,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,25012,54254
1626730191192,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,25012,25012
1626730192192,7318000,192.168.78.176 JMX url=192.168.78.176\:9000:unit=mb:memory-usage,,,,,true,,0,0,0,0,null,0,0,0,26012,7344012
1626730192192,19158,192.168.78.176 CPU,,,,,true,,0,0,0,0,null,0,0,0,26012,45170
1626730192192,0,192.168.78.176 JMX url=192.168.78.176\:9000:gc-time,,,,,true,,0,0,0,0,null,0,0,0,26012,26012
