timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626730164980,0,dummy origin,200,OK,Csae 1 1-1,text,true,,114,0,1,2,null,0,0,0
1626730165059,250,load root,200,OK,Csae 1 1-1,text,true,,2321,360,1,2,https://192.168.78.176/dcim/,189,0,182
1626730165059,189,load root-0,301,Moved Permanently,Csae 1 1-1,text,true,,459,117,1,2,https://192.168.78.176/,189,0,182
1626730165249,27,load root-1,301,Moved Permanently,Csae 1 1-1,text,true,,460,121,1,2,https://192.168.78.176/dcim,27,0,0
1626730165277,32,load root-2,200,OK,Csae 1 1-1,text,true,,1402,122,1,2,https://192.168.78.176/dcim/,32,0,0
1626730165313,83,styles.08b8aa09052e959232e4.css,200,OK,Csae 1 1-1,text,true,,1325634,153,1,2,https://192.168.78.176/dcim/styles.08b8aa09052e959232e4.css,6,0,0
1626730165397,3,runtime-es2015.5558b2c0b4e72d6a3281.js,200,OK,Csae 1 1-1,text,true,,3583,160,1,2,https://192.168.78.176/dcim/runtime-es2015.5558b2c0b4e72d6a3281.js,3,0,0
1626730165401,14,polyfills-es2015.9d7d5ff3d15a12497388.js,200,OK,Csae 1 1-1,text,true,,123099,162,1,2,https://192.168.78.176/dcim/polyfills-es2015.9d7d5ff3d15a12497388.js,5,0,0
1626730165416,54,main-es2015.92e191cf2f3fbc711d04.js,200,OK,Csae 1 1-1,text,true,,1428052,157,1,2,https://192.168.78.176/dcim/main-es2015.92e191cf2f3fbc711d04.js,4,0,0
1626730165472,2,34-es2015.f7cab52e1cff2c3f79a4.js,200,OK,Csae 1 1-1,text,true,,10186,155,1,2,https://192.168.78.176/dcim/34-es2015.f7cab52e1cff2c3f79a4.js,2,0,0
1626730165311,156,dcim embedded,200,"Number of samples in transaction : 5, number of failing samples : 0",Csae 1 1-1,,true,,2890554,787,1,2,null,20,8,0
1626730165590,15,models,401,,Csae 1 1-1,text,false,,444,169,1,2,https://192.168.78.176/dcTrackApp/api/v1/models?gcsr=0.9935388101533593,14,0,0
